ID,Name,Type,Neighborhood,Story,Nudge,Vibe: Quiet,Vibe: Inside,Vibe: Active,Tags,Price Level,Has Embedding,Active,Created At,Availability
160,Cooper's Tavern,bar,Capitol Square,Capitol Square fixture serving Wisconsin's famous cheese curds alongside an impressive list of local beers. Tourist-friendly without being touristy—locals still go here.,Cheese curds are mandatory. Outdoor seating in summer for people-watching. Beer list is long and Wisconsin-focused.,0.3,0.7,0.6,"friend-hangout, food-focused, cheap-eats",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
154,Gib's Bar,bar,Willy Street,"Innovative craft cocktails built into a two-story Victorian house on Willy Street. The Nitro Amaretto Sour with bourbon, pineapple cordial, orange, and argan oil is their signature. Neighborhood favorite that doesn't feel like a neighborhood bar.",Weeknight around 7pm. Sit upstairs if it's available—better atmosphere. Let the bartender know what you usually drink and trust their recommendation.,0.6,0.9,0.3,"date-night, friend-hangout",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
158,Merchant Madison,bar,Near Capitol Square,Craft cocktail bar near Capitol Square serving delicious food. The kind of place where you come for drinks and leave having eaten a full meal because the kitchen is better than expected.,"Make a reservation on weekends. The cocktail list is comprehensive—ask for something specific to your taste. Food is genuinely good, not just bar food.",0.5,0.9,0.4,"date-night, friend-hangout, food-focused",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
159,Nitro Beverage Lounge,bar,Madison,Women-led business serving nitrogen-infused drinks. Recent addition to the cocktail scene doing something different enough to stand out in an increasingly crowded market.,Try the nitro coffee cocktail if you're there during day hours. Evening for the full cocktail menu. Ask about the nitrogen process if you're curious.,0.5,0.9,0.4,"date-night, friend-hangout, outside-my-norm",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
156,Oz by Oz,bar,Madison,Opened 2021 with one of Madison's largest collections of amaro. Playful selection of house cocktails that don't take themselves too seriously while still being serious about ingredients.,"If you like bitter, you'll love this place. If you don't, tell them—they'll make you something balanced. Weekend evenings get busy, arrive early.",0.5,0.9,0.4,"date-night, friend-hangout, outside-my-norm",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
157,State Line Distillery,bar,Marquette Neighborhood,Madison's first grain-to-glass distillery with a cocktail lounge. One of the best cocktail menus in Madison plus they make and sell their own spirits. The advantage of having a distillery attached shows.,Try something made with their house spirits—that's the whole point. Tours are available if you want to see the operation. Weeknight visit for conversation.,0.5,0.8,0.4,"date-night, friend-hangout, outside-my-norm, educational",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
162,The Malt House,bar,Madison,Craft beer and cocktail bar downtown. Popular drinking destination that does both beer and cocktails well enough that you don't have to choose your night based on what you're drinking.,"Happy hour specials are good. Weekend nights for the crowd, weeknights for conversation. Upstairs seating when available.",0.4,0.9,0.5,"friend-hangout, date-night",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
161,The Mason Lounge,bar,Madison,"Top craft beer bar also known for cocktails. Appearing on multiple best-of lists without trying too hard, which is the Madison way.","Beer selection if you're a beer person, cocktails if you're not. Either way, the staff knows what they're pouring. Late weeknight for elbow room.",0.4,0.9,0.5,"friend-hangout, date-night",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
155,The Robin Room,bar,Madison,"Opened 2016 by Chad Vogel, instrumental in elevating Madison's cocktail scene. Rotating program with slushie specials, tea-crafted cocktails, one of the largest mezcal collections in the city. Still ahead of the curve.",Ask about the current seasonal menu—it changes frequently and intentionally. The mezcal selection is serious if you're into that. Thursday or Sunday nights.,0.5,0.9,0.4,"date-night, friend-hangout, outside-my-norm",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
3,The Weary Traveler,bar,Willy Street,Not a craft cocktail bar. Not trying to be. The Weary Traveler is where the east side goes to be comfortably social without performance. The patio is the move when weather permits.,"Go on a weeknight. Order whatever's on tap. If the patio's open, claim a corner table. Conversation happens naturally here.",0.3,0.8,0.7,"friend-hangout, food-focused, date-night, cheap-eats",2,Yes,Yes,1/17/2026,"{""season"":""all"",""hours"":{""type"":""standard"",""open"":""16:00"",""close"":""02:00""},""hours_verified"":false}"
